Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Land,Fylke,Postnummer,Kommune,Latitude,Longitude,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
1290000,Enebolig,Eier (Selveier),3,137,160,2,1880,G - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=231416344,231416344,"1 day, 0:00:00",0, Norge,Agder,4560, Farsund,58.115685,6.605179,33420,1323420,11807,417000,1323,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5000000,Enebolig,Eier (Selveier),6,203,208,,2013,C - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=231125622,231125622,"15 days, 0:00:00",0, Norge,Agder,4886, Grimstad,58.3996244,8.5130162,140470,5140470,12320,1274670,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2990000,Enebolig,Eier (Selveier),5,153,181,,1998,,https://www.finn.no/realestate/homes/ad.html?finnkode=220135560,220135560,"110 days, 0:00:00",0, Norge,Agder,4550, Farsund,58.0967819,6.778083,86392,3076392,,559203,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2950000,Tomannsbolig,Eier (Selveier),2,118,118,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=231095907&location=0.22042&page=13&sort=PUBLISHED_DESC,231095907,"1 day, 0:00:00",1, Norge,Agder,4520, Lindesnes,58.083127,7.300367,4820,2954820,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5500000,Enebolig,Eier (Selveier),6,295,350,3,2015,C - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=231012609,231012609,"14 days, 0:00:00",0, Norge,Agder,4760, Birkenes,58.3158497,8.2410024,138842,5638842,35618,1088459,617,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1
1790000,Leilighet,Eier (Selveier),2,73,73,1,2007,E - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=223668131,223668131,"8 days, 0:00:00",0, Norge,Agder,4706, Vennesla,58.2596359,7.9587819,56292,1846292,,478709,,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
3950000,Leilighet,Eier (Selveier),3,95,97,3,2013,D - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=230338405,230338405,0:00:00,0,,Agder,,,,,110620,4060620,6422,534403,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3100000,Enebolig,Eier (Selveier),9,285,285,,1855,,https://www.finn.no/realestate/homes/ad.html?finnkode=221550276,221550276,"2 days, 0:00:00",0, Norge,Agder,4400, Flekkefjord,58.2974753,6.6602646,93142,3193142,,,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475000,Andre,Eier (Selveier),,,46,,2018,,https://www.finn.no/realestate/homes/ad.html?finnkode=144614939,144614939,"17 days, 0:00:00",0,,Agder,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6590000,Enebolig,Eier (Selveier),3,159,196,2.,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=228993867&location=0.22042&page=13&sort=PUBLISHED_DESC,228993867,"89 days, 0:00:00",1, Norge,Agder,4634, Kristiansand,58.188262,8.041674,81250,6671250,,,,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
2800000,Enebolig,Eier (Selveier),4,105,137,,1900,,https://www.finn.no/realestate/homes/ad.html?finnkode=229566235,229566235,"6 days, 0:00:00",0, Norge,Agder,4550, Farsund,58.0910502,6.804628,85642,2885642,,,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
