Finn_bolig_endret
Boligtype;Eieform bolig;Soverom;Primærrom;Bruksareal;Etasje;Byggeår;Energimerking;Pris;URL;ID;Nybygg;Enhetsid;Solforhold;Utendørsareal;Tomteareal;Bruttoareal;Rom;Ant etasjer;Tomt;Renovert år;Areal;Boligselgerforsikring;Grunnflate;Festeavgift
Enebolig;Eier (Selveier);3;188;190;;1970;;4500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238906403;238906403;0;;;;5901;;4;;;;;;;
Tomannsbolig;Eier (Selveier);3;84;84;;2018;B - rød;3125000;https://www.finn.no/realestate/homes/ad.html?finnkode=231089867;231089867;0;;;;838;;;;;;;;;
Leilighet;Andel;2;74;74;3;1895;G - oransje;5800000;https://www.finn.no/realestate/homes/ad.html?finnkode=238906164;238906164;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);5;333;360;;1996;E - gul;12700000;https://www.finn.no/realestate/homes/ad.html?finnkode=232197179;232197179;0;;;;1157;;;;;;;;;
Leilighet;Eier (Selveier);1;43;43;2;2010;C - rød;3990000;https://www.finn.no/realestate/homes/ad.html?finnkode=224100065;224100065;0;;;;;;;;;;;;;
Leilighet;Andel;2;65;65;1;1950;G - oransje;1250000;https://www.finn.no/realestate/homes/ad.html?finnkode=238904884;238904884;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);1;46;48;3;1998;D - rød;2300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238818633;238818633;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);7;242;314;;1983;E - gul;4950000;https://www.finn.no/realestate/homes/ad.html?finnkode=238904484;238904484;0;;;;940;;;;;;;;;
Rekkehus;Eier (Selveier);3;93;98;2;1982;F - oransje;4650000;https://www.finn.no/realestate/homes/ad.html?finnkode=238853897;238853897;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);6;315;323;;1975;F - oransje;23600000;https://www.finn.no/realestate/homes/ad.html?finnkode=221272054;221272054;0;;;;1071;;;;;;;;;
Enebolig;Eier (Selveier);;247;264;;2010;C - oransje;16950000;https://www.finn.no/realestate/homes/ad.html?finnkode=230381147;230381147;0;;;;1017;294;;;;;;;;
Leilighet;Eier (Selveier);2;73;73;1;2006;D - rød;4600000;https://www.finn.no/realestate/homes/ad.html?finnkode=237308669;237308669;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;109;109;3;1874;G - rød;3390000;https://www.finn.no/realestate/homes/ad.html?finnkode=238903805;238903805;0;;;;;;;;;;;;;
Leilighet;Andel;2;93;106;3;2013;;2800000;https://www.finn.no/realestate/homes/ad.html?finnkode=229107450;229107450;0;;;;;;3;;;;;;;
Leilighet;Eier (Selveier);3;82;82;2;1958;B - gul;5000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238823836;238823836;0;;;;;;;;;;;;;
Leilighet;Andel;2;86;86;1;1861;;2150000;https://www.finn.no/realestate/homes/ad.html?finnkode=238827695;238827695;0;;;;;;2;;;;;;;
Enebolig;Eier (Selveier);;88;88;;1885;G - gul;2790000;https://www.finn.no/realestate/homes/ad.html?finnkode=238903034;238903034;0;;;;708;99;;;;;;;;
Tomannsbolig;Eier (Selveier);2;70;70;2;1890;G - rød;2990000;https://www.finn.no/realestate/homes/ad.html?finnkode=235981541;235981541;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);0;34;41;1;1870;;1500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238829564;238829564;0;;;;;;3;;;;;;;
Enebolig;Eier (Selveier);3;87;178;;1967;G - oransje;3290000;https://www.finn.no/realestate/homes/ad.html?finnkode=238899994;238899994;0;;;;;;5;;;;;;;
Leilighet;Andel;1;54;59;1;1976;F - rød;1100000;https://www.finn.no/realestate/homes/ad.html?finnkode=238901975;238901975;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);3;111;208;;1889;G - oransje;2200000;https://www.finn.no/realestate/homes/ad.html?finnkode=238467426;238467426;0;;;;;;4;;;;;;;
Leilighet;Andel;2;76;85;1;1969;F - rød;2175000;https://www.finn.no/realestate/homes/ad.html?finnkode=231532605;231532605;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);3;93;130;2;1952;G - gul;1490000;https://www.finn.no/realestate/homes/ad.html?finnkode=238208731;238208731;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);3;76;79;2;2000;D - rød;7000000;https://www.finn.no/realestate/homes/ad.html?finnkode=237307362;237307362;0;;;;;;;;;;;;;
Leilighet;Andel;2;73;73;;1963;G - rød;2000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238900193;238900193;0;;;;4544;;;;;;;;;
Leilighet;Eier (Selveier);2;68;71;2;2015;;4750000;https://www.finn.no/realestate/homes/ad.html?finnkode=237276045;237276045;0;;;;;;3;;;;;;;
Bygård/Flermannsbolig;Eier (Selveier);2;75;75;;1938;G - oransje;1790000;https://www.finn.no/realestate/homes/ad.html?finnkode=236976930;236976930;0;;;;1703;;;;;;;;;
Leilighet;Aksje;2;74;74;3;1951;G - rød;3990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238795362;238795362;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2.0;77.5;;;2021;;4775000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=209642176&page=3&sort=PUBLISHED_DESC;209642176;1;;;;;;;;;;77.5;;;
