Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Pris,URL,ID,Nybygg,Enhetsid,Solforhold,Utendørsareal,Tomteareal,Bruttoareal,Rom,Ant etasjer,Tomt,Renovert år,Areal,Boligselgerforsikring,Grunnflate,Festeavgift
Leilighet,Eier (Selveier),3,80,84,2,2016,,3250000,https://www.finn.no/realestate/homes/ad.html?finnkode=239209269,239209269,0,,,,,,4,,,,,,,
Enebolig,Eier (Selveier),3,84,84,,1960,G - gul,2700000,https://www.finn.no/realestate/homes/ad.html?finnkode=239211168,239211168,0,,,,853,,,,,,,,,
Rekkehus,Andel,3,90,128,2,1957,G - oransje,2500000,https://www.finn.no/realestate/homes/ad.html?finnkode=239136201,239136201,0,,,,,,,,,,,,,
Leilighet,Andel,2,72,72,2,2008,,1600000,https://www.finn.no/realestate/homes/ad.html?finnkode=239113738,239113738,0,,,,,,3,,,,,,,
Rekkehus,Andel,3,114,138,,1973,E - gul,2600000,https://www.finn.no/realestate/homes/ad.html?finnkode=239027875,239027875,0,,,,,,,,,1999,,,,
Leilighet,Eier (Selveier),,71,74,3,2002,,2900000,https://www.finn.no/realestate/homes/ad.html?finnkode=239210186,239210186,0,,,,,,,,Eiet,,,Ja,,
Enebolig,Eier (Selveier),3,111,134,1,1980,,900000,https://www.finn.no/realestate/homes/ad.html?finnkode=226159923,226159923,0,,,,,,4,,,,,,,
Enebolig,Eier (Selveier),3,136,153,,1980,F - gul,2800000,https://www.finn.no/realestate/homes/ad.html?finnkode=239209270,239209270,0,,,,787,,,,,,,,,
Tomannsbolig,Eier (Selveier),,116,,1,2017,B - oransje,3690000,https://www.finn.no/realestate/homes/ad.html?finnkode=239209124,239209124,0,,,,885,,,,,,,Ja,,
Leilighet,Andel,2,69,84,1,1968,F - rød,1900000,https://www.finn.no/realestate/homes/ad.html?finnkode=239208732,239208732,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),3,84,84,2,1939,F - oransje,3450000,https://www.finn.no/realestate/homes/ad.html?finnkode=239108452,239108452,0,,,,,,,,,,,,,
Leilighet,Andel,2,72,76,4,2014,D - mørkegrønn,890000,https://www.finn.no/realestate/homes/ad.html?finnkode=169602664,169602664,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),3,119,119,3,1894,G - oransje,10500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238726943,238726943,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,48,51,2,2015,B - mørkegrønn,3550000,https://www.finn.no/realestate/homes/ad.html?finnkode=239208329,239208329,0,,,,,,,,,,,,,
Rekkehus,Andel,2,127,147,,1968,G - oransje,3290000,https://www.finn.no/realestate/homes/ad.html?finnkode=221244697,221244697,0,,,,,,4,,,,,,,
