Boligtype;Eieform bolig;Soverom;Primærrom;Bruksareal;Etasje;Byggeår;Energimerking;Pris;URL;ID
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;10012500.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=219272233&page=4&sort=PUBLISHED_DESC;219272233
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;4150000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=166262601&page=4&sort=PUBLISHED_DESC;166262601
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;2112500.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=156269860&page=4&sort=PUBLISHED_DESC;156269860
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;14400000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=143926786&page=4&sort=PUBLISHED_DESC;143926786
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;8240000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=195758084&page=4&sort=PUBLISHED_DESC;195758084
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;3835000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=192356692&page=4&sort=PUBLISHED_DESC;192356692
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;5475000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=195734248&page=4&sort=PUBLISHED_DESC;195734248
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;2940000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=180027173&page=4&sort=PUBLISHED_DESC;180027173
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;4540000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=195758530&page=4&sort=PUBLISHED_DESC;195758530
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;5900000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232186935&page=4&sort=PUBLISHED_DESC;232186935
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;8300000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=141308800&page=4&sort=PUBLISHED_DESC;141308800
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;8475000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=201760151&page=4&sort=PUBLISHED_DESC;201760151
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;5450000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=205299492&page=4&sort=PUBLISHED_DESC;205299492
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;2790000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=125573260&page=4&sort=PUBLISHED_DESC;125573260
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;2773000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=92110081&page=4&sort=PUBLISHED_DESC;92110081
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;6765000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=205327897&page=4&sort=PUBLISHED_DESC;205327897
